iter	Passed	Remaining
0	68	68878
1	102	50952
2	133	44314
3	162	40546
4	193	38563
5	225	37318
6	256	36392
7	284	35282
8	315	34775
9	345	34243
10	376	33879
11	408	33602
12	438	33266
13	465	32799
14	486	31942
15	508	31299
16	530	30683
17	551	30094
18	571	29519
19	594	29129
20	613	28579
21	631	28068
22	651	27658
23	670	27257
24	691	26968
25	709	26585
26	728	26266
27	747	25934
28	766	25661
29	788	25498
30	807	25252
31	826	24991
32	844	24742
33	864	24561
34	885	24412
35	908	24319
36	928	24162
37	945	23928
38	962	23711
39	982	23568
40	999	23374
41	1016	23183
42	1033	23001
43	1049	22809
44	1066	22630
45	1084	22487
46	1101	22331
47	1118	22179
48	1135	22044
49	1152	21902
50	1170	21784
51	1187	21656
52	1205	21531
53	1221	21393
54	1238	21276
55	1254	21152
56	1272	21054
57	1288	20931
58	1305	20828
59	1322	20717
60	1339	20613
61	1356	20515
62	1374	20444
63	1392	20366
64	1408	20267
65	1425	20179
66	1441	20078
67	1458	19992
68	1478	19945
69	1496	19883
70	1514	19819
71	1531	19738
72	1547	19657
73	1565	19587
74	1582	19516
75	1599	19448
76	1616	19378
77	1634	19316
78	1650	19239
79	1667	19177
80	1684	19109
81	1700	19042
82	1718	18981
83	1734	18913
84	1750	18846
85	1766	18776
86	1784	18725
87	1803	18685
88	1820	18633
89	1837	18580
90	1855	18538
91	1873	18495
92	1890	18439
93	1906	18377
94	1925	18340
95	1941	18286
96	1960	18251
97	1979	18220
98	1995	18164
99	2013	18119
100	2029	18065
101	2046	18019
102	2063	17972
103	2080	17926
104	2096	17872
105	2113	17828
106	2132	17796
107	2149	17753
108	2165	17704
109	2182	17659
110	2199	17617
111	2216	17573
112	2234	17538
113	2251	17494
114	2268	17454
115	2285	17417
116	2301	17370
117	2319	17336
118	2335	17294
119	2354	17263
120	2372	17237
121	2388	17189
122	2405	17148
123	2422	17111
124	2438	17072
125	2455	17029
126	2473	17004
127	2491	16973
128	2511	16955
129	2529	16929
130	2547	16898
131	2565	16868
132	2582	16833
133	2598	16795
134	2616	16765
135	2633	16732
136	2651	16701
137	2670	16679
138	2687	16644
139	2702	16602
140	2720	16571
141	2736	16536
142	2755	16513
143	2773	16489
144	2791	16458
145	2808	16427
146	2825	16397
147	2841	16360
148	2858	16327
149	2876	16300
150	2893	16269
151	2911	16241
152	2928	16210
153	2945	16180
154	2964	16163
155	2982	16136
156	2999	16106
157	3017	16079
158	3034	16051
159	3051	16019
160	3068	15992
161	3085	15960
162	3102	15929
163	3118	15899
164	3136	15871
165	3153	15845
166	3171	15817
167	3187	15787
168	3203	15753
169	3220	15721
170	3236	15692
171	3254	15665
172	3271	15639
173	3289	15616
174	3308	15594
175	3324	15566
176	3342	15541
177	3359	15515
178	3376	15486
179	3393	15459
180	3411	15435
181	3426	15402
182	3443	15373
183	3462	15353
184	3478	15323
185	3495	15297
186	3512	15268
187	3528	15240
188	3545	15213
189	3562	15188
190	3579	15162
191	3597	15140
192	3615	15116
193	3632	15090
194	3649	15067
195	3667	15045
196	3684	15019
197	3703	14999
198	3720	14976
199	3737	14949
200	3754	14923
201	3771	14898
202	3788	14874
203	3806	14852
204	3824	14832
205	3842	14809
206	3860	14787
207	3876	14760
208	3893	14734
209	3910	14711
210	3930	14696
211	3949	14678
212	3966	14656
213	3983	14630
214	3999	14604
215	4017	14581
216	4036	14563
217	4052	14536
